N,P,K,temperature,humidity,ph,moisture,soil temp,crops,Fertilizer
60,36,43,23.43121862,83.06310136,5.286203711,47.8,19.8,rice,urea
76,60,39,20.0454142,80.3477562,4.766240045,47.7,19.9,rice,urea
93,56,42,23.85724032,82.22572988,5.382762603,47.6,20,rice,urea
65,60,43,21.97199397,81.89918197,5.658169482,47.5,20.1,rice,urea
95,52,36,26.22916897,83.83625819,5.543360238,47.6,20,rice,urea
75,38,39,23.44676801,84.79352417,5.215109715,47.5,19.9,rice,urea
74,54,38,25.65553461,83.47021081,5.120272972,47.4,19.8,rice,urea
91,36,45,24.44345477,82.45432595,4.950647577,47.5,19.9,rice,urea
71,46,40,20.2801937,82.1235421,5.236705436,47.6,19.8,rice,urea
99,55,35,21.7238313,80.2389895,5.501697816,47.5,19.9,rice,urea
72,40,38,20.41447029,82.20802629,5.592490617,47.4,19.7,rice,urea
83,58,45,25.75528612,83.51827127,5.575345751,47.3,19.8,rice,urea
93,58,38,20.61521424,83.77345559,4.932400225,47.2,19.9,rice,urea
70,36,42,21.84106875,80.72886384,4.946209881,47.3,20,rice,urea
76,47,42,20.08369642,83.29114712,4.739175027,47.4,19.9,rice,urea
99,41,36,24.45802087,82.74835604,4.738652179,47.3,20,rice,urea
99,54,37,21.14347496,80.33502926,4.594819626,47.4,19.9,rice,urea
86,59,35,25.78720567,82.11124033,4.946636369,47.3,20,rice,urea
69,46,41,23.64124821,80.28597873,5.012139669,47.2,20.1,rice,urea
91,56,37,23.43191632,80.56887849,5.363472208,47.1,20,rice,urea
61,52,41,24.97669518,83.891805,4.880431223,47,19.9,rice,urea
67,45,38,22.72791041,82.1706881,5.300410836,47.1,20,rice,urea
79,42,37,24.87300744,82.84022551,5.587918708,47.2,19.9,rice,urea
78,43,42,21.32376327,83.00320459,5.283736617,47.1,19.8,rice,urea
75,54,36,26.29465461,84.56919326,5.023936392,47.2,19.9,rice,urea
97,36,45,22.2286982,81.85872947,4.939083505,47.1,20,rice,urea
67,47,44,26.73072391,81.78596776,4.868474653,47,20.1,rice,urea
73,35,38,24.88921174,81.97927117,5.005306977,46.9,20.2,rice,urea
77,36,37,26.88444878,81.46033732,5.136131869,47,20.1,rice,urea
81,41,38,22.67846116,83.72874389,5.524080076,47.1,20,rice,urea
68,57,43,26.08867875,80.37979919,5.706943251,47,19.9,rice,urea
72,45,35,25.42977518,82.94682591,5.758506323,46.9,20,rice,urea
61,53,43,26.40323239,81.05635517,5.349606327,46.8,20.1,rice,urea
67,43,39,26.04371967,84.96907151,5.299969026,46.7,20,rice,urea
67,58,39,25.2827223,80.54372813,5.453592032,46.6,20.1,rice,urea
66,60,38,22.08576562,83.47038318,5.372576327,46.7,20.2,rice,urea
82,43,38,23.28617173,81.43321641,5.105588355,46.8,20.1,rice,urea
84,50,44,25.48591986,81.40633547,5.035344406,46.7,20,rice,urea
81,53,42,23.67575393,81.03569343,5.17782304,46.6,20.1,rice,urea
91,50,40,20.82477109,84.1341879,5.462391607,46.5,20,rice,urea
93,53,38,26.92995077,81.91411159,5.069172227,46.6,19.9,rice,urea
90,44,38,23.83509503,83.88387074,5.473134377,46.5,20,rice,urea
81,45,35,26.52872817,80.12267476,5.158376967,46.4,20.1,rice,urea
78,40,38,26.46428311,83.85642678,5.549873681,46.5,20.2,rice,urea
60,51,36,22.69657794,82.81088865,5.028321558,46.4,20.1,rice,urea
88,46,42,22.68319059,83.46358271,4.604993475,46.3,20.2,rice,urea
93,47,37,21.53346343,82.14004101,4.500343222,46.2,20.3,rice,urea
60,55,45,21.40865769,83.3293191,4.935745417,46.1,20.4,rice,urea
78,35,44,26.54348085,84.67353597,5.072655622,46.2,20.3,rice,urea
65,37,40,23.35905428,83.59512273,5.333322606,46.1,20.2,rice,urea
71,54,16,22.61359953,83.69070564,5.749914421,46,20.3,rice,urea
61,44,17,26.10018422,83.57476937,4.931756558,46.1,20.2,rice,urea
80,43,16,23.55882094,83.59351368,4.657964753,46.2,20.3,rice,urea
73,58,21,19.97215954,83.68272924,4.596060648,46.1,20.4,rice,urea
61,38,20,18.47891261,83.69503871,4.970458434,46,20.3,rice,urea
68,41,16,21.77689322,83.80840636,5.158830619,45.9,20.4,rice,urea
93,41,17,25.6217169,83.50415474,5.047906679,45.8,20.3,rice,urea
89,60,19,25.19192419,83.6902901,4.913664501,45.9,20.2,rice,urea
76,44,17,20.41683147,82.5542482,4.855442401,46,20.1,rice,urea
67,60,25,24.92162194,82.78627406,4.750254943,46.1,20.2,rice,urea
70,44,19,23.31689124,82.4541537,4.852607099,46,20.1,rice,urea
90,49,21,24.84016732,82.3584573,5.472523287,45.9,20.2,rice,urea
62,52,16,22.27526694,82.84015925,4.967057762,46,20.1,rice,urea
92,44,16,18.87751445,82.76816093,5.082973754,45.9,20.2,rice,urea
66,54,21,25.19008683,83.2001687,4.919045532,45.8,20.3,rice,urea
63,58,22,18.25405352,83.28220433,5.204747653,45.9,20.2,rice,urea
70,47,17,24.6129118,83.4162444,5.600827017,45.8,20.3,rice,urea
61,41,17,25.1420613,83.26185135,5.021902237,45.9,20.4,rice,urea
66,53,19,23.09348056,83.1159381,5.033550195,45.8,20.5,rice,urea
74,55,19,18.05033737,82.89366992,5.28886807,45.7,20.4,rice,urea
77,57,21,24.9321581,82.80435276,5.550563823,45.8,20.5,rice,urea
99,50,15,18.14710054,82.09445342,5.573286437,45.7,17.5,rice,urea
74,56,22,18.28362235,82.65952796,4.829199275,45.6,17.6,rice,urea
83,45,21,18.83344471,82.75082029,4.716222912,45.5,17.5,rice,urea
100,48,16,25.71895816,82.22190688,4.54990242,45.4,17.6,rice,urea
79,51,16,25.33797709,81.49835977,4.586244581,45.5,17.5,rice,urea
94,39,18,23.89114571,81.48775781,4.893093135,45.4,17.6,rice,urea
75,49,15,21.53574127,81.50905983,4.918263801,45.5,17.5,rice,urea
78,48,22,23.08974909,81.10459626,4.588650585,45.4,17.4,rice,urea
87,54,20,25.61707368,81.4711755,4.576418207,45.3,17.5,rice,urea
87,35,25,21.44526922,81.1621551,5.178056304,45.2,17.6,rice,urea
63,43,19,18.51816776,81.53128131,4.641906353,45.3,17.5,rice,urea
84,57,25,22.53510514,81.99257471,4.489040367,45.4,17.6,rice,urea
64,35,23,23.02038334,81.89472002,4.680361038,45.3,17.5,rice,urea
60,46,22,24.89364635,81.61418761,4.625404348,45.2,17.6,rice,urea
98,44,21,25.77175115,81.089114,4.524478032,45.1,17.5,rice,urea
75,56,18,19.39851734,81.35750641,4.696205468,44,17.6,rice,urea
86,55,21,21.54156232,81.64024162,4.803931519,45.1,17.7,rice,urea
98,35,18,23.79746068,81.82913698,5.252797548,45.2,17.8,rice,urea
76,57,18,18.9802729,81.52600826,5.092725883,45.1,17.7,rice,urea
99,56,17,24.10859207,81.13112261,5.234330356,45,17.8,rice,urea
60,44,23,24.7947077,81.04556743,5.722579819,45.1,17.7,rice,urea
74,48,17,21.63162756,81.27766379,5.430616465,45,17.6,rice,urea
89,60,17,25.37548751,81.21025565,4.983952675,44.9,17.7,rice,urea
69,51,23,22.21738222,81.85462807,4.80163854,44.8,17.8,rice,urea
96,46,22,20.58314011,82.00128641,5.499936446,44.9,17.9,rice,urea
61,60,15,24.87502824,82.74248334,5.265564338,45,17.8,rice,urea
74,58,18,20.03728219,82.35606753,5.727303282,44.9,17.9,rice,urea
74,43,23,25.95263264,82.89082199,5.325235159,44.8,17.8,rice,urea
63,43,17,19.28889933,82.47050802,4.807487794,44.7,17.7,rice,urea
99,36,20,20.57981887,82.34583901,4.671085817,44.6,17.8,rice,urea
77,36,23,24.71417533,82.73426469,4.648725327,44.5,17.9,rice,urea
87,60,23,20.27317074,82.91281869,5.439071996,44.6,17.8,rice,urea
60,38,17,18.41932981,82.23580251,5.474476516,44.7,17.9,rice,urea
94,54,17,23.39128187,82.74427165,4.871647806,44.6,18,rice,urea
95,38,22,19.84939404,83.24500053,4.730617109,44.5,18.1,rice,urea
84,44,21,21.869274,83.91044947,4.850439831,44.4,18,rice,urea
77,58,19,22.8056033,83.50768935,4.791649933,44.5,18.1,rice,urea
66,44,20,19.0781471,83.02298571,4.740000688,44.4,18,rice,urea
63,35,16,22.02720976,83.35549924,5.272417541,44.3,17.9,rice,urea
79,45,20,23.80546189,83.24537979,5.715208817,44.2,18,rice,urea
72,60,25,18.52510753,83.0276233,5.773454729,44.3,17.9,rice,urea
67,51,24,23.50297882,83.32026065,5.584171461,44.2,18,rice,urea
86,36,24,26.54986394,83.89187265,5.787268394,44.1,18.1,rice,urea
76,48,18,19.29563411,83.63481219,5.77597783,44.2,18.2,rice,urea
75,53,18,20.68899915,83.4375337,5.864793607,44.1,18.1,rice,urea
81,45,23,19.32666088,83.034493,5.192360003,44,18,rice,urea
73,45,21,24.60532218,83.58868502,5.636803223,44.1,18.1,rice,urea
71,35,24,22.27373646,83.52193158,5.826426917,44,18.2,rice,urea
96,54,22,25.70196694,83.33450447,4.960358276,43.9,18.1,rice,urea
99,39,18,19.20129357,83.30578978,5.11275104,43.8,18.2,rice,urea
62,48,20,21.70181447,83.47470519,4.708446922,43.9,18.3,rice,urea
86,37,16,20.51716779,83.21235483,4.561510732,44,18.2,rice,urea
94,50,19,23.30355338,83.62548442,4.873242491,43.9,18.1,rice,urea
76,39,24,24.2547451,83.64709899,4.995843776,43.8,18.2,rice,urea
77,52,17,24.86374934,83.7420046,4.714799723,43.7,18.1,rice,urea
74,39,23,22.6265115,83.77472881,4.78073637,43.8,18,rice,urea
81,49,20,18.04185513,83.61494304,5.513697923,43.7,18.1,rice,urea
63,42,21,23.26237612,83.33125523,5.798423908,43.6,18.2,rice,urea
99,38,21,22.88330922,83.59722446,5.352471866,43.5,18.3,rice,urea
90,52,25,25.97482359,83.36385721,4.822586546,43.6,18.2,rice,urea
68,40,19,26.14384005,83.20569924,4.655426355,43.7,18.3,rice,urea
60,57,24,18.66116213,83.55327249,5.121294041,43.6,18.4,rice,urea
71,52,18,25.10787449,83.97732754,4.790770203,43.5,18.5,rice,urea
61,59,17,23.33844615,84.24580604,5.47444292,43.4,18.6,rice,urea
88,38,15,25.08239719,65.92195844,5.455116637,43.3,18.7,rice,urea
65,60,22,25.36768364,84.52054555,5.606984086,43.4,18.6,rice,urea
78,37,22,25.34217103,84.31801994,5.330554389,43.5,18.5,rice,urea
78,58,15,25.00933355,84.816568,5.528631266,43.4,18.6,rice,urea
92,60,23,18.66746724,84.516474,5.721667141,43.3,18.7,rice,urea
79,59,17,20.37999665,84.73849998,5.644205485,43.2,18.6,rice,urea
91,55,15,18.09300227,84.61024172,5.376651091,43.1,18.7,rice,urea
76,51,18,26.16985907,84.96246617,5.247040422,43.2,18.8,rice,urea
87,48,25,18.65396672,84.37879671,5.656730008,43.3,18.9,rice,urea
71,60,22,26.07470121,84.37147589,5.2048017,43.2,18.8,rice,urea
90,57,24,18.92851916,84.80086137,5.158860284,43.3,18.7,rice,urea
67,35,22,23.30546753,85.24648023,5.385684214,43.2,18.8,rice,urea
60,54,19,18.74826712,85.49878458,5.417820493,43.1,18.9,rice,urea
83,58,23,19.74213321,85.66263104,5.381201909,43,19,rice,urea
83,57,19,25.73044432,85.74739256,4.877869005,43.1,19.1,rice,urea
40,72,77,17.02498456,85.98861173,5.485996067,43,19.2,rice,urea
23,72,84,19.02061277,85.13159126,4.920251378,42.9,19.1,rice,urea
39,58,85,17.88776475,85.40589717,4.996932037,42.8,19.2,rice,urea
22,72,85,18.86805647,85.65809214,5.391173589,42.9,19.3,rice,urea
36,67,77,18.36952567,84.56381041,5.152811172,42.8,19.4,rice,urea
32,73,81,20.45078582,84.40312102,4.988992796,42.9,19.3,rice,urea
58,70,84,20.6543203,84.60820843,5.231049028,43,19.4,rice,urea
59,70,84,17.3348681,85.74926979,5.550808267,42.9,19.3,rice,urea
42,62,75,18.17912258,86.90426935,5.010570541,42.8,19.4,rice,urea
28,74,81,18.01272266,86.30968112,4.753795334,42.7,19.5,rice,urea
58,66,79,20.99373558,86.33470387,4.718192847,42.6,19.6,rice,urea
43,66,79,19.46233971,86.22538951,4.976607593,42.5,19.5,rice,urea
58,63,81,19.81344531,80.69765308,5.515499549,42.4,19.4,rice,urea
23,62,85,18.97424756,80.5161216,5.490127142,42.5,19.5,rice,urea
27,62,77,18.19737048,80.71070537,5.576415562,42.6,19.6,rice,urea
28,72,84,18.72963144,80.18197264,5.481783043,42.5,19.5,rice,urea
50,56,76,20.99502153,79.8601304,4.966605025,42.4,19.4,rice,urea
39,71,84,20.28155898,79.39535215,5.1408437,42.3,19.5,rice,urea
25,78,76,17.48042641,79.7559405,5.228963452,42.2,19.6,rice,urea
31,70,77,20.88818675,79.32313811,5.492546046,43.1,19.7,rice,urea
26,80,83,17.08498521,79.14565756,5.528599957,43,19.8,rice,urea
25,68,77,20.09340593,79.11279612,5.701446446,42.9,19.7,rice,urea
31,78,76,17.57212145,79.99927489,5.519975748,43,19.8,rice,urea
60,68,83,19.12065218,79.43475844,5.620900869,42.9,19.9,rice,urea
59,62,83,18.57665902,79.22008229,5.104396058,42.8,19.8,rice,urea
22,67,78,17.16606398,79.42457525,5.204090835,42.7,19.7,rice,urea
36,65,80,18.2872007,79.67921616,5.051091339,42.8,19.6,rice,urea
59,60,84,19.03025305,79.66725565,4.690962338,42.7,19.7,rice,urea
54,77,85,17.1418614,79.0662427,4.829211144,42.6,19.8,rice,urea
43,68,81,17.47809436,80.93253975,4.761599706,42.5,19.9,rice,urea
28,76,82,20.56601874,80.25803981,4.654425315,42.4,19.8,rice,urea
42,79,85,17.22385224,80.82069268,5.129533877,42.3,19.9,rice,urea
32,60,83,19.69141713,80.44225438,4.829273328,42.2,19.8,rice,urea
22,78,76,17.84851658,80.09172907,4.621662982,42.1,19.7,rice,urea
31,79,75,18.8202251,80.1074793,5.204862075,42,19.8,rice,urea
28,58,81,17.47500984,80.54314829,5.18042747,42.1,19.9,rice,urea
57,58,77,18.72649425,80.58406365,4.978996755,42,20,rice,urea
49,55,78,18.65580107,80.17772668,4.863113671,41.9,19.9,rice,urea
46,76,77,18.2356751,74.68538502,4.967843048,41.8,20,rice,urea
54,61,77,18.81198127,74.21618225,5.206582193,27.4,26.7,rice,urea
38,60,76,18.65054116,74.80852431,4.868741443,27.5,26.6,rice,urea
59,55,79,20.36720401,74.89574311,4.766128654,27.6,26.5,rice,urea
36,76,75,18.38120357,74.63805158,4.736337905,27.5,26.6,rice,urea
57,68,81,17.17012591,74.30457712,5.081095263,27.6,26.7,rice,urea
35,66,81,19.37101121,74.77458129,5.138243973,27.5,26.8,rice,urea
35,64,78,17.92845928,74.27327988,5.496645259,27.4,26.9,rice,urea
52,60,79,19.45339934,74.23490739,5.380185271,27.3,26.8,rice,urea
27,76,83,19.12829388,74.92241479,5.289614016,27.2,26.9,rice,urea
57,60,84,19.1034283,74.26184541,5.586777189,38.7,26.8,rice,urea
52,68,78,17.48504075,73.96070581,4.89655198,38.8,26.9,rice,urea
43,79,79,19.40751744,73.98030507,4.806747656,38.9,27,rice,urea
44,74,85,20.18649426,73.63719995,5.150681303,39,26.9,rice,urea
44,55,78,17.30287885,73.15405941,5.64919573,38.9,26.8,rice,urea
43,77,75,17.50361137,73.48083156,5.778591618,39,23.2,rice,urea
50,60,78,18.17234999,73.70085967,5.358740355,39.1,23.1,rice,urea
56,67,78,17.57445618,73.71826572,5.255450758,39.2,23,rice,urea
57,66,85,20.93175255,73.91295403,5.456148474,39.1,23.1,rice,urea
49,71,76,19.71098332,73.63879418,5.613072145,39,23.2,rice,urea
59,69,80,19.07937684,73.86754927,5.165359297,39.1,23.3,rice,urea
50,79,77,18.54988627,73.02542689,4.64867466,39,23.2,rice,urea
54,56,85,18.19903647,73.41333199,4.545888558,38.9,23.3,rice,urea
51,72,75,18.88852533,73.99451145,5.104224797,39,23.2,rice,urea
57,73,85,18.49311205,73.72115044,5.358099622,38.9,23.1,rice,urea
22,64,82,19.48974337,73.17260319,5.4740245,39,23.2,rice,urea
52,73,79,17.25769499,73.74943955,4.840339389,39.1,23.2,rice,urea
29,75,75,19.62416326,73.71483156,5.064790365,39,23.4,rice,urea
44,59,78,20.67526473,73.85388984,5.599033472,38.9,23.3,rice,urea
41,69,82,20.02381489,73.63294455,5.715587232,38.8,23.4,rice,urea
52,56,85,20.1187446,73.44228303,5.81712422,38.7,23.3,rice,urea
34,76,80,20.65691793,73.84572566,4.985417393,38.8,23.4,rice,urea
42,74,83,19.2582557,74.2804191,4.545258424,38.7,23.5,rice,urea
34,71,79,17.927806,74.85622899,4.728998197,38.8,23.6,rice,urea
27,73,79,19.16288268,74.83500655,5.354973451,38.7,23.7,rice,urea
30,70,79,20.26942271,74.96978871,5.313122235,38.6,23.6,rice,urea
57,57,75,17.09104223,74.25142068,4.785039076,38.5,23.7,rice,urea
27,79,82,17.06579293,74.54024066,5.307004923,38.4,23.6,rice,urea
32,71,85,20.62767492,74.44008871,5.403982316,38.3,23.5,rice,urea
31,76,82,20.8248451,75.85057083,5.599279991,38.4,23.4,rice,urea
33,75,84,19.46210401,74.72831993,5.217018459,38.5,23.5,rice,urea
47,80,77,17.18248372,74.42891834,5.561108006,38.4,23.6,rice,urea
54,62,80,17.48911699,74.39055394,5.489545074,38.3,23.5,rice,urea
47,79,78,17.48395377,74.76014523,5.609696734,38.2,23.6,rice,urea
35,57,83,19.48316794,74.44534641,5.476800943,38.1,23.5,rice,urea
53,73,77,19.71359733,74.09665739,5.325451279,38.2,23.4,rice,urea
45,61,78,19.48649305,74.06240074,5.489389282,38.1,23.5,rice,urea
37,78,79,19.95264829,75.82633099,5.786366322,38,23.6,rice,urea
30,75,81,19.41789736,75.80472243,5.408437886,38.1,23.7,rice,urea
37,55,82,19.45591848,75.02235902,5.423873703,38,23.6,rice,urea
53,65,76,20.19137759,75.41998269,5.719960893,37.9,23.7,rice,urea
22,60,85,18.8392908,75.74071856,4.811997977,37.8,23.8,rice,urea
60,61,78,20.71219282,75.83643308,5.317153205,37.7,23.9,rice,urea
42,67,77,18.99424448,75.9362937,5.114405288,37.8,24,rice,urea
39,76,76,19.96837462,75.57324389,5.135900726,37.9,23.9,rice,urea
35,63,76,17.81564548,75.60756635,4.714153038,37.8,23.8,rice,urea
30,65,82,20.71424384,75.27824066,5.103798069,37.7,23.7,rice,urea
57,56,78,17.34150229,75.75626255,4.861479668,37.8,23.8,rice,urea
48,65,78,17.43732714,76.33847406,4.861128148,37.7,23.9,rice,urea
36,56,83,18.89780215,76.76182946,5.4526709,37.6,23.8,rice,urea
40,58,75,18.59190771,76.77959596,5.168096055,37.7,23.9,rice,urea
49,69,82,18.31561493,76.36143547,5.26311855,37.6,23.8,rice,urea
13,60,25,17.13692774,76.59541693,5.68597166,37.7,23.9,rice,urea
25,70,16,19.63474332,76.90705639,5.759237003,37.6,24,rice,urea
31,55,22,22.91350245,76.33953114,5.873171894,37.5,24.1,rice,urea
40,64,16,16.43340342,76.24045875,5.926676985,37.4,24.2,rice,urea
44,61,20,22.13974653,76.02251117,5.95561668,37.3,24.3,rice,urea
30,65,22,17.84806561,76.77621951,5.949949081,37.2,24.2,rice,urea
34,57,21,19.88394011,76.31564139,5.789214289,37.3,24.1,rice,urea
35,80,18,19.32509638,76.3334788,5.581021521,37.2,24.2,rice,urea
37,59,17,18.4167001,76.42829938,5.689858133,37.3,24.1,rice,urea
38,59,22,21.81167649,76.20591245,5.794158504,37.2,24.2,rice,urea
30,58,24,19.72702528,76.28173015,5.748190463,37.1,24.1,rice,urea
29,57,19,17.15432954,76.87070659,5.566522896,37,24.2,rice,urea
35,80,17,19.62207826,76.67170854,5.809419584,37,24.3,rice,urea
37,60,22,21.63149148,77.17919701,5.887263027,37.1,24.4,rice,urea
39,78,23,16.06522754,77.72479695,5.99812453,37,24.3,rice,urea
44,77,25,20.61162204,77.36314135,5.792744849,36.9,24.2,rice,urea
32,79,17,21.42451099,77.39659714,5.912289889,37,24.3,rice,urea
27,80,15,19.07096165,77.21092266,5.788386951,36.9,24.4,rice,urea
30,55,23,21.18853178,77.63438599,5.728233081,36.8,24.5,rice,urea
35,65,20,23.0429097,77.42610972,5.833940084,36.9,24.4,rice,urea
37,78,16,20.65375833,77.10538637,5.967533236,37,24.5,rice,urea
38,65,25,18.09551014,77.29318436,5.625096446,36.9,24.4,rice,urea
47,70,19,18.23775702,77.07643273,5.515615023,36.8,24.3,rice,urea
37,64,22,17.48189735,77.8251973,4.954665349,36.9,24.4,rice,urea
35,71,17,19.9191786,77.47324158,5.74644777,36.8,24.5,rice,urea
40,79,20,20.27514686,77.2353604,4.877347515,36.7,24.6,rice,urea
33,63,17,15.77370214,77.2303162,4.979973965,36.6,24.7,rice,urea
37,80,22,16.71170642,77.17651433,5.635993966,36.5,24.6,rice,urea
40,60,22,17.66148158,77.15302753,5.635231778,36.6,22.1,rice,urea
45,75,21,18.50692825,76.61670065,5.679224346,36.5,22.2,rice,urea
35,77,23,24.51324787,76.81527638,5.670062975,36.4,22.3,rice,urea
37,72,18,18.87614998,76.54038287,5.724242065,36.3,22.4,rice,urea
40,73,20,21.59343016,76.31871249,5.811314232,36.4,22.3,rice,urea
50,77,17,20.12373284,76.45202552,5.783425416,36.3,22.4,rice,urea
42,62,23,15.43546065,76.37477907,5.607808432,36.2,22.3,rice,urea
40,59,22,22.64236876,76.59396123,4.946999529,36.1,22.4,rice,urea
50,59,19,21.98560799,76.87304788,4.852046999,36,22.5,rice,urea
53,62,22,20.53052663,76.09224048,4.824090984,36.1,22.6,rice,urea
55,63,20,15.78601387,76.14544088,5.502999119,35.9,22.7,rice,urea
67,79,23,19.6365349,75.68751084,5.821649914,35.8,22.6,rice,urea
56,72,17,20.57341244,75.7520218,5.711439256,35.9,22.5,rice,urea
55,64,15,20.16080524,75.84207559,5.514927264,36,22.6,rice,urea
45,66,23,21.53989176,75.25386207,4.99616119,35.9,22.7,rice,urea
32,57,18,15.53834801,75.75560241,4.695422863,35.8,22.8,rice,urea
44,56,22,19.91853092,75.70099804,4.833010958,35.7,22.7,rice,urea
47,77,24,20.76952209,75.93146941,5.568456899,35.8,22.6,rice,urea
50,65,15,23.46168338,75.22197648,5.645435626,35.7,22.7,rice,urea
44,72,21,24.32116642,75.0278674,5.821194486,35.6,22.8,rice,urea
34,60,23,20.12574053,74.96969858,5.659254981,35.7,22.7,rice,urea
50,80,19,21.80619564,74.57086554,5.945465949,35.6,22.8,rice,urea
67,72,20,19.52226241,74.92607153,5.951177452,35.5,22.7,rice,urea
66,67,24,17.00067625,74.90790546,5.520880014,35.4,22.8,rice,urea
60,69,23,16.78791503,74.96881755,5.578410206,35.3,22.9,rice,urea
55,77,25,24.84906168,74.89464642,5.608165195,35.4,22.8,rice,urea
50,62,19,16.51783455,74.4555596,5.609435128,35.5,22.9,rice,urea
45,71,17,18.15300153,74.38602098,5.509295379,35.4,23,rice,urea
55,79,25,23.18864385,74.3104551,5.902033406,35.3,23.2,rice,urea
40,59,18,23.38002569,74.98879437,5.744117663,35.2,23,rice,urea
46,63,17,18.358923,74.37703396,5.717143397,35.1,22.9,rice,urea
50,56,20,19.25975367,74.51346956,5.542690119,35,22.8,rice,urea
60,63,24,22.95458237,74.03553105,5.858617867,34.9,22.9,rice,urea
45,67,22,20.120043,74.89845607,5.618844277,34.8,23,rice,urea
50,71,24,21.14011423,74.7182355,5.606620346,34.9,23.1,rice,urea
37,74,15,24.92360104,75.22590825,5.582178402,35,23.2,rice,urea
40,76,24,15.33042636,75.91506728,5.56503533,34.9,23.3,rice,urea
43,66,17,18.81097271,75.27833035,4.889614577,35,23.2,rice,urea
44,69,15,23.44260668,75.77255917,4.934136378,34.9,23.3,rice,urea
37,65,16,22.8352024,75.97267518,5.683548308,34.8,23.2,rice,urea
50,74,15,24.9035819,75.27512704,5.70836603,34.7,23.3,rice,urea
55,67,25,23.78709569,75.35679348,5.948164454,28.7,26.4,sugarcane,TSP
